addr                 activations  total_active_ms  name
[0]                  1686         1070.445         Dataflow
[0, 1]               2            0.001            Input
[0, 2]               3            0.377            FlatMap
[0, 3]               42           0.133            Arrange: ThresholdTotal
[0, 4]               4            0.025            ThresholdTotal
[0, 5]               4            0.008            FlatMap
[0, 6]               4            0.091            FlatMap
[0, 7]               16           0.020            Arrange: ThresholdTotal
[0, 8]               4            0.025            ThresholdTotal
[0, 9]               4            0.223            FlatMap
[0, 10]              8            0.116            ArrangeByKey
[0, 11]              1178         953.910          Iterative
[0, 11, 1]           4            0.007            FlatMap
[0, 11, 2]           4            0.005            Enter
[0, 11, 3]           22           0.280            Feedback
[0, 11, 4]           22           13.809           FlatMap
[0, 11, 5]           51           93.247           ArrangeByKey
[0, 11, 6]           37           101.580          Join
[0, 11, 7]           24           0.740            Concatenate
[0, 11, 8]           24           89.750           FlatMap
[0, 11, 9]           52           460.389          Arrange: ThresholdTotal
[0, 11, 10]          32           178.450          ThresholdTotal
[0, 11, 11]          22           2.133            ResultsIn
[0, 12]              35           0.658            Leave
[0, 13]              22           9.530            FlatMap
[0, 14]              80           64.974           Arrange: ThresholdTotal
[0, 15]              4            20.865           ThresholdTotal
[0, 16]              4            3.316            FlatMap
[0, 17]              4            2.634            FlatMap
[0, 18]              4            4.542            FlatMap
[0, 19]              7            0.007            Consolidate
[0, 20]              2            0.003            AsCollection
[0, 21]              2            0.004            InspectBatch
