addr                 activations  total_active_ms  name
[0]                  1156         785.808          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               4            0.007            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            31.329           FlatMap
[0, 7]               4            185.857          Consolidate
[0, 8]               4            22.316           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            23.769           FlatMap
[0, 14]              5            204.050          ArrangeByKey
[0, 15]              872          304.663          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           22           0.045            Feedback
[0, 15, 4]           22           0.581            FlatMap
[0, 15, 5]           22           1.629            FlatMap
[0, 15, 6]           73           4.232            ArrangeBySelf
[0, 15, 7]           38           127.439          Join
[0, 15, 8]           22           0.238            Concatenate
[0, 15, 9]           22           26.575           FlatMap
[0, 15, 10]          70           118.615          Arrange: ThresholdTotal
[0, 15, 11]          34           18.748           ThresholdTotal
[0, 15, 12]          22           0.123            ResultsIn
[0, 16]              33           0.064            Leave
[0, 17]              22           1.251            FlatMap
[0, 18]              69           5.594            Consolidate
[0, 19]              4            1.218            AsCollection
[0, 20]              4            0.501            FlatMap
[0, 21]              4            0.429            FlatMap
[0, 22]              4            0.948            FlatMap
[0, 23]              17           0.007            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.003            InspectBatch
